GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1001751,110012296746,2023,Penn State - University Park,101P Physical Plant Building,University Park,PA,16802,CENTRE COUNTY,THE PENNSYLVANIA STATE UNIVERSITY,201 Old Main,University Park,PA,16802,100,611310
1001755,110071162328,2023,Defiance Casting Operations (0320010001),26427 STATE ROUTE 281 EAST,DEFIANCE,OH,43512,DEFIANCE COUNTY,GENERAL MOTORS CO,"300 Renaissance Center, Suite L1",Detroit,MI,48243,100,331524
1001757,110000588123,2023,MOUNT VERNON MILLS INC APPAREL FABRICS DIV,91 FOURTH STREET,TRION,GA,30753,CHATTOOGA COUNTY,R B PAMPLIN CORP,503 S. Main Street,Mauldin,SC,29662,100,313210
1001760,110071159542,2023,Arkansas Loop & Simpson Treating Plants,,DURANGO,CO,81303,LA PLATA COUNTY,KINDER MORGAN INC,"1001 Louisiana St, Suite 1000",Houston,TX,77002,49,211130
1001760,110071159542,2023,Arkansas Loop & Simpson Treating Plants,,DURANGO,CO,81303,LA PLATA COUNTY,SOUTHERN UTE INDIAN TRIBE,356 Ouray Drive,Ignacio,CO,81137,51,211130
1001761,110059019235,2023,Grayling Platform,,Anchorage,AK,99503,KENAI PENINSULA,HILCORP ENERGY CO,1111 Travis St,Houston,TX,77002,100,211120
1001762,110070835132,2023,McKinley Paper WI Company,540 PROSPECT AVE,COMBINED LOCKS,WI,54113,OUTAGAMIE COUNTY,APPLETON PROPERTY VENTURES LLC,540 Prospect Street,Combined Locks,WI,54113,100,322120
1001765,110015679050,2023,KAUAI ISLAND UTILITY COOPERATIVE - KAPAIA POWER STATION,4941-K MAALO RD,LIHUE,HI,96766,KAUAI COUNTY,KAUAI ISLAND UTILITY COOPERATIVE,"4463 Pahee Street, Suite 1",Lihue,HI,96766,100,221112
1001766,110002439601,2023,Cedar Rapids/Linn County Solid Waste Agency Site #1,2250 A STREET SW,CEDAR RAPIDS,IA,52404,LINN COUNTY,COUNTY OF LINN IOWA,1954 County Home Road,Marion,IA,52302,100,562212
1001768,110064110652,2023,"KAUAI ISLAND UTILITY COOPERATIVE, PORT ALLEN GENERATING STATION",261-A AKAULA RD,ELEELE,HI,96705,KAUAI COUNTY,KAUAI ISLAND UTILITY COOPERATIVE,"4463 Pahee Street, Suite 1",Lihue,HI,96766,100,221112
1001770,110071161566,2023,MOCCASIN MIKE SANITARY LANDFILL,15 MOCCASIN MIKE ROAD,SUPERIOR,WI,54880,DOUGLAS COUNTY,CITY OF SUPERIOR WISCONSIN,1316 N. 14Th Street,Superior,WI,54880,100,562212
1001771,110000586401,2023,Patheon Manufacturing Services LLC,5900 NORTHWEST GREENVILLE BOULEVARD,GREENVILLE,NC,27834,PITT COUNTY,THERMO FISHER SCIENTIFIC INC,81 Wyman St,Waltham,MA,02451,100,325412
1001772,110000414935,2023,QUAKER MFG LLC,418 2ND STREET NORTHEAST,CEDAR RAPIDS,IA,52401,LINN COUNTY,PEPSICO INC,700 Anderson Hill Road,Purchase,NY,10577,100,311230
1001775,110009853578,2023,BUNCOMBE COUNTY NEW LANDFILL,85 PANTHER BRANCH ROAD,ALEXANDER,NC,28701,BUNCOMBE COUNTY,COUNTY OF BUNCOMBE NORTH CAROLINA,81 Panther Branch Road,Alexander,NC,28701,100,562212
1001776,,2023,"Nansen Spar, East Breaks 602 Platform",,Offshore,TX,00000,,OCCIDENTAL PETROLEUM CORP,"5 Greenway Plaza, Suite 110",Houston,TX,77046,100,211120
1001778,,2023,"Gunnison Spar, Garden Banks 668 Platform",,Offshore,TX,00000,,OCCIDENTAL PETROLEUM CORP,"5 Greenway Plaza, Suite 110",Houston,TX,77046,100,211120
1001779,,2023,"Constitution Spar, Green Canyon 680 Platform",,Offshore,LA,00000,,OCCIDENTAL PETROLEUM CORP,"5 Greenway Plaza, Suite 110",Houston,TX,77046,100,211120
1001780,110070828215,2023,Auriga Polymers Inc.,1550 Dewberry Road,SPARTANBURG,SC,29307,SPARTANBURG COUNTY,INDORAMA VENTURES USA HOLDINGS LP,"2610 Lake Cook Road, Suite 133",Riverwoods,IL,60015,100,325211
1001781,110070932284,2023,INV Nylon Chemicals Americas Victoria Site,2695 OLD BLOOMINGTON RD NORTH,VICTORIA,TX,77905,VICTORIA COUNTY,KOCH INDUSTRIES INC,4111 E 37Th Street North,Wichita,KS,67220-3298,100,325199
1001783,110000428485,2023,WESTERN SUGAR COOPERATIVE,3020 STATE AVE.,BILLINGS,MT,59101,YELLOWSTONE COUNTY,THE WESTERN SUGAR COOPERATIVE,"7555 East Hampden Avenue, Suite 600",Denver,CO,80231,100,311313
1001790,110043811907,2023,Hilight-Reno Junction Gas Plant,,Gillette,WY,82716,CAMPBELL COUNTY,WESTERN MIDSTREAM PARTNERS LP,9950 Woodloch Forest Drive,The Woodlands,TX,77380,100,211130
1001801,110010681707,2023,SEAWATER INJECTION PLANT,,Prudhoe Bay,AK,99734,NORTH SLOPE BOROUGH,HILCORP ENERGY CO,1111 Travis Street,Houston,TX,77002,100,211120
1001802,110008062265,2023,"Hamakua Energy, LLC",45-300 LEHUA STREET,HONOKAA,HI,96727,HAWAII COUNTY,HAWAIIAN ELECTRIC INDUSTRIES INC,"1001 Bishop Street, Suite 1900",Honolulu,HI,96813,100,221112
1001803,110056970434,2023,STARPET INCORPORATED,801 PINEVIEW ROAD,ASHEBORO,NC,27203,RANDOLPH COUNTY,STARPET INC,801 Pineview Road,Asheboro,NC,27203,100,325211
1001804,110000483245,2023,MARTINEZ REFINING COMPANY LLC,3485 PACHECO BLVD,MARTINEZ,CA,94553,CONTRA COSTA COUNTY,PBF ENERGY INC,"1 Sylvan Way, Suite 2",Parsippany,NJ,07054,100,324110
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,TARGA RESOURCES CORP,"811 Louisiana Street, Suite 2100",Houston,TX,77002,0.84,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,ENTERPRISE PRODUCTS PARTNERS LP,"1100 Louisiana Street, 10Th Floor",Houston,TX,77002,15.54,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,ENERGY RESOURCES TECHNOLOGY LAND INC,"400 N Sam Houston Parkway East, Suite 400",Houston,TX,77060,0.24,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,MORITECH RESOURCES,25025 Interstate 45,The Woodlands,TX,77380,0.48,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,EL PASO CORP,1001 Louisiana Street,Houston,TX,77002,6.03,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,W&T OFFSHORE INC,"5718 Westheimer Road, Suite 700",Houston,TX,77057,0.1,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,DEVON ENERGY CORP,333 West Sheridan Avenue,Oklahoma City,OK,73102,17.98,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,CONOCOPHILLIPS,925 N Eldridge Pkwy,Houston,TX,77079,0.13,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,EXXON MOBIL CORP,5959 Las Colinas Blvd,Irving,TX,75039,10.52,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,APA CORP,"2000 Post Oak Blvd, Suite 100",Houston,TX,77056,4.2,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,LOUIS DREYFUS CO NORTH AMERICA LLC,40 Danbury Road,Wilton,CT,06897,19.53,211130
1001805,110009454964,2023,SEA ROBIN GAS PROCESSING PLANT,5627 ARISTIDE ROAD,ERATH,LA,70533,VERMILION PARISH,HESS CORP,"1185 Avenue Of The Americas, 40Th Floor",New York,NY,10026,24.41,211130
1001806,110033349552,2023,SEMINOLE GAS PROCESSING PLANT,3.5 MI NW ON SH 214,SEMINOLE,TX,79360,GAINES COUNTY,OCCIDENTAL PETROLEUM CORP,5 Greenway Plaza,Houston,TX,77046,100,211120
1001807,110017412968,2023,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",4470 SAVANNAH HIGHWAY,JESUP,GA,31545,WAYNE COUNTY,RAYONIER ADVANCED MATERIALS INC,"1301 Riverplace Blvd, Suite 2300",Jacksonville,FL,32207,100,322110
